[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/allat/Documents/github/CognTech/2-python-libraries
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/?token=733142cc883231826f6c471b2f9a334742ad1402c57c0946
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8888/?token=733142cc883231826f6c471b2f9a334742ad1402c57c0946&token=733142cc883231826f6c471b2f9a334742ad1402c57c0946
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from ::1
[NotebookApp | INFO] Uploading file to /lect_pandas.ipynb
[NotebookApp | WARNING] Notebook lect_pandas.ipynb is not trusted
[NotebookApp | WARNING] Notebook lect_pandas.ipynb is not trusted
[NotebookApp | INFO] Kernel started: b67251df-fae7-4216-a424-8719a95a246c
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel b67251df-fae7-4216-a424-8719a95a246c
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: b8a9d0b1-0b75-450c-bdf9-a6c3be55939a
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel b8a9d0b1-0b75-450c-bdf9-a6c3be55939a
[NotebookApp | INFO] Saving file at /1-pandas1.ipynb
[NotebookApp | WARNING] Notebook 1-pandas1.ipynb is not trusted
[NotebookApp | INFO] Saving file at /1-pandas1.ipynb
[NotebookApp | WARNING] Notebook 1-pandas1.ipynb is not trusted
[NotebookApp | INFO] Saving file at /lect_pandas.ipynb
[NotebookApp | WARNING] Notebook lect_pandas.ipynb is not trusted
[NotebookApp | INFO] Saving file at /1-pandas1.ipynb
[NotebookApp | WARNING] Notebook 1-pandas1.ipynb is not trusted
[NotebookApp | INFO] Copying lect_pandas.ipynb to 
[NotebookApp | WARNING] Notebook lect_pandas.ipynb is not trusted
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 5b3249c2-96ea-4831-889f-72ba18038956
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 5b3249c2-96ea-4831-889f-72ba18038956
[NotebookApp | INFO] Saving file at /1-pandas1.ipynb
[NotebookApp | WARNING] Notebook 1-pandas1.ipynb is not trusted
[NotebookApp | INFO] Starting buffering for b8a9d0b1-0b75-450c-bdf9-a6c3be55939a:e4c501a0372b43dc965c08f7da866f1b
[NotebookApp | INFO] Kernel shutdown: b8a9d0b1-0b75-450c-bdf9-a6c3be55939a
[NotebookApp | WARNING] delete /1-pandas1.ipynb
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 5b3249c2-96ea-4831-889f-72ba18038956
[NotebookApp | INFO] Saving file at /lect_pandas-Copy1.ipynb
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
[NotebookApp | INFO] Starting buffering for 5b3249c2-96ea-4831-889f-72ba18038956:9ddd72a3cbf74d6b862c501d346543f3
[NotebookApp | INFO] Copying lect_pandas.ipynb to 
[NotebookApp | WARNING] Notebook lect_pandas.ipynb is not trusted
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
[NotebookApp | WARNING] Notebook lect_pandas-Copy1.ipynb is not trusted
